t,gzs,phase,alpha_het,alpha_hom,frac_exited_het,frac_exited_hom,lam_std_het,delta_alpha
0,0.02,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
1,0.0242,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
2,0.0245,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
3,0.0207,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
4,0.0162,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
5,0.0152,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
6,0.0186,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
7,0.0233,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
8,0.0249,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
9,0.0221,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
10,0.0173,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
11,0.015,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
12,0.0173,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
13,0.0221,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
14,0.025,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
15,0.0233,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
16,0.0186,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
17,0.0152,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
18,0.0162,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
19,0.0207,baseline,1.0,1.0,0.0,0.0,0.4628,0.0
20,0.02,stress_rising,1.0,1.0,0.0,0.0,0.4628,0.0
21,0.0544,stress_rising,1.0,1.0,0.0,0.0,0.4628,0.0
22,0.0888,stress_rising,1.0,1.0,0.0,0.0,0.4628,0.0
23,0.1231,stress_rising,1.0,1.0,0.0,0.0,0.4628,0.0
24,0.1575,stress_rising,1.0,1.0,0.0,0.0,0.4628,0.0
25,0.1919,stress_rising,1.0,1.0,0.0,0.0,0.4628,0.0
26,0.2263,stress_rising,0.9999,1.0,0.0,0.0,0.4628,0.0001
27,0.2606,stress_rising,0.9957,1.0,0.0,0.0,0.4628,0.0043
28,0.295,stress_rising,0.9856,1.0,0.0,0.0,0.4628,0.0144
29,0.3294,stress_rising,0.9706,1.0,0.0,0.0,0.4628,0.0294
30,0.3638,stress_rising,0.9514,1.0,0.0,0.0,0.4628,0.0486
31,0.3981,stress_rising,0.9288,1.0,0.0,0.0,0.4628,0.0712
32,0.4325,stress_rising,0.9034,1.0,0.0,0.0,0.4628,0.0966
33,0.4669,stress_rising,0.8758,1.0,0.0,0.0,0.4628,0.1242
34,0.5013,stress_rising,0.8464,0.946,0.0,0.0,0.4628,0.0996
35,0.5356,stress_rising,0.8157,0.874,0.0,0.0,0.4628,0.0583
36,0.57,grey_zone,0.7841,0.8075,0.0,0.0,0.4628,0.0234
37,0.9287,grey_zone,0.4559,0.3535,0.0,0.0,0.4628,-0.1024
38,1.0698,grey_zone,0.3469,0.2555,0.0,0.0,0.4628,-0.0914
39,0.9077,grey_zone,0.4734,0.371,0.0,0.0,0.4628,-0.1024
40,0.5408,grey_zone,0.811,0.8636,0.0,0.0,0.4628,0.0526
41,0.5,grey_zone,0.8475,0.9487,0.0,0.0,0.4628,0.1012
42,0.5,grey_zone,0.8475,0.9487,0.0,0.0,0.4628,0.1012
43,0.5,grey_zone,0.8475,0.9487,0.0,0.0,0.4628,0.1012
44,0.55,recovery,0.8026,0.8455,0.0,0.0,0.4628,0.0429
45,0.4938,recovery,0.8529,0.9624,0.0,0.0,0.4628,0.1095
46,0.4375,recovery,0.8995,1.0,0.0,0.0,0.4628,0.1005
47,0.3813,recovery,0.9403,1.0,0.0,0.0,0.4628,0.0597
48,0.325,recovery,0.9727,1.0,0.0,0.0,0.4628,0.0273
49,0.2688,recovery,0.9938,1.0,0.0,0.0,0.4628,0.0062
50,0.2125,recovery,1.0,1.0,0.0,0.0,0.4628,0.0
51,0.1563,recovery,1.0,1.0,0.0,0.0,0.4628,0.0
52,0.05,resolved,1.0,1.0,0.0,0.0,0.4628,0.0
53,0.0584,resolved,1.0,1.0,0.0,0.0,0.4628,0.0
54,0.0591,resolved,1.0,1.0,0.0,0.0,0.4628,0.0
55,0.0514,resolved,1.0,1.0,0.0,0.0,0.4628,0.0
56,0.0424,resolved,1.0,1.0,0.0,0.0,0.4628,0.0
57,0.0404,resolved,1.0,1.0,0.0,0.0,0.4628,0.0
58,0.0472,resolved,1.0,1.0,0.0,0.0,0.4628,0.0
59,0.0566,resolved,1.0,1.0,0.0,0.0,0.4628,0.0
