epoch,timestamp,slashed_validators,slashing_penalty_eth,gross_loss_eth,cl_rewards_eth,mev_proxy_eth,participation_rate,stored_score,stored_risk,recomputed_score,recomputed_risk,score_drift,has_rewards_data
440692,2026-04-13 03:14,0,0.0,0.0,0.0,0.001159976,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440693,2026-04-13 03:20,0,0.0,0.0,0.0,0.000979176,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440694,2026-04-13 03:26,0,0.0,0.0,0.0,0.002682514,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440695,2026-04-13 03:32,0,0.0,0.0,0.0,0.001818335,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440696,2026-04-13 03:40,0,0.0,0.0,0.0,0.001038146,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440697,2026-04-13 03:45,0,0.0,0.0,0.0,0.001838293,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440698,2026-04-13 03:52,0,0.0,0.0,0.0,0.001368038,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440699,2026-04-13 04:00,0,0.0,0.0,0.0,0.002321103,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440700,2026-04-13 04:06,0,0.0,0.0,0.0,0.002850831,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440701,2026-04-13 04:11,0,0.0,0.0,0.0,0.00124815,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440702,2026-04-13 04:19,0,0.0,0.0,0.0,0.002269278,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440703,2026-04-13 04:25,0,0.0,0.0,0.0,0.001674012,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440704,2026-04-13 04:30,0,0.0,0.0,0.0,0.006418338,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440705,2026-04-13 04:35,0,0.0,0.0,0.0,0.00999919,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
